dteday,cnt,temp,hum,windspeed,weathersit,season,yr,mnth
2011-01-01,985,0.3441666666666667,0.8058333333333333,0.16044583333333332,1.5833333333333333,1,0,1
2011-01-02,801,0.3634782608695652,0.696086956521739,0.24853913043478262,1.9565217391304348,1,0,1
2011-01-03,1349,0.19636363636363638,0.43727272727272726,0.2483090909090909,1.0,1,0,1
2011-01-04,1562,0.19999999999999998,0.5904347826086956,0.16029565217391303,1.0434782608695652,1,0,1
2011-01-05,1600,0.22695652173913042,0.43695652173913047,0.1869,1.0,1,0,1
2011-01-06,1606,0.20434782608695654,0.5182608695652174,0.08956521739130435,1.3478260869565217,1,0,1
2011-01-07,1510,0.1965217391304348,0.498695652173913,0.16872608695652175,1.6956521739130435,1,0,1
2011-01-08,959,0.165,0.5358333333333333,0.2668041666666667,1.7083333333333333,1,0,1
2011-01-09,822,0.13833333333333334,0.43416666666666665,0.36195,1.0,1,0,1
2011-01-10,1321,0.15083333333333335,0.48291666666666666,0.2232666666666667,1.3333333333333333,1,0,1
2011-01-11,1263,0.1690909090909091,0.6863636363636364,0.12213181818181819,2.1818181818181817,1,0,1
2011-01-12,1162,0.17272727272727273,0.5995454545454545,0.30462727272727275,1.0909090909090908,1,0,1
2011-01-13,1406,0.165,0.47041666666666665,0.301,1.0833333333333333,1,0,1
2011-01-14,1421,0.16086956521739132,0.5378260869565217,0.12654782608695653,1.0869565217391304,1,0,1
2011-01-15,1248,0.2333333333333333,0.49875,0.1579625,1.5,1,0,1
2011-01-16,1204,0.2316666666666667,0.48374999999999996,0.18843333333333334,1.2083333333333333,1,0,1
2011-01-17,1000,0.1758333333333333,0.5375,0.19401666666666664,2.1666666666666665,1,0,1
2011-01-18,683,0.21666666666666667,0.8616666666666667,0.14677500000000002,2.0,1,0,1
2011-01-19,1650,0.29217391304347823,0.7417391304347826,0.20831739130434782,1.6521739130434783,1,0,1
2011-01-20,1927,0.26166666666666666,0.5383333333333333,0.19590416666666666,1.5416666666666667,1,0,1
2011-01-21,1543,0.1775,0.45708333333333334,0.3532416666666667,1.2916666666666667,1,0,1
2011-01-22,981,0.0591304347826087,0.39999999999999997,0.1719695652173913,1.3478260869565217,1,0,1
2011-01-23,986,0.0965217391304348,0.43652173913043474,0.2466,1.0869565217391304,1,0,1
2011-01-24,1416,0.0973913043478261,0.4917391304347826,0.1583304347826087,1.2173913043478262,1,0,1
2011-01-25,1985,0.2234782608695652,0.6169565217391304,0.12979565217391303,1.608695652173913,1,0,1
2011-01-26,506,0.2175,0.8625,0.29385,2.9375,1,0,1
2011-01-27,431,0.195,0.6875,0.11383750000000001,1.0,1,0,1
2011-01-28,1167,0.2034782608695652,0.7930434782608696,0.1233,2.0434782608695654,1,0,1
2011-01-29,1098,0.19652173913043477,0.6517391304347826,0.14536521739130434,1.2608695652173914,1,0,1
2011-01-30,1096,0.2165217391304348,0.7221739130434782,0.07398260869565218,1.3043478260869565,1,0,1
2011-01-31,1501,0.18083333333333332,0.60375,0.18719166666666667,1.7916666666666667,1,0,1
2011-02-01,1360,0.19217391304347825,0.8295652173913044,0.05321304347826087,2.217391304347826,1,0,2
2011-02-02,1526,0.26,0.7754166666666666,0.2643083333333333,1.9166666666666667,1,0,2
2011-02-03,1550,0.18695652173913044,0.43782608695652175,0.27775217391304347,1.0,1,0,2
2011-02-04,1708,0.21130434782608698,0.5852173913043479,0.12783913043478262,1.8695652173913044,1,0,2
2011-02-05,1005,0.2333333333333333,0.9291666666666667,0.16107916666666666,2.375,1,0,2
2011-02-06,1623,0.28583333333333333,0.5683333333333334,0.1418,1.0,1,0,2
2011-02-07,1712,0.27166666666666667,0.7383333333333333,0.045408333333333335,1.4583333333333333,1,0,2
2011-02-08,1530,0.22083333333333333,0.5379166666666667,0.36195,1.25,1,0,2
2011-02-09,1605,0.13478260869565217,0.4947826086956522,0.18883913043478262,1.6521739130434783,1,0,2
2011-02-10,1538,0.14434782608695654,0.4373913043478261,0.22193478260869565,1.391304347826087,1,0,2
2011-02-11,1746,0.1890909090909091,0.5063636363636363,0.10855000000000001,1.0,1,0,2
2011-02-12,1472,0.2225,0.5441666666666667,0.20336666666666667,1.0,1,0,2
2011-02-13,1589,0.3165217391304348,0.45739130434782604,0.26088260869565216,1.434782608695652,1,0,2
2011-02-14,1913,0.41500000000000004,0.3758333333333333,0.4179083333333333,1.0,1,0,2
2011-02-15,1815,0.26608695652173914,0.31434782608695655,0.29137391304347826,1.0434782608695652,1,0,2
2011-02-16,2115,0.31826086956521743,0.42347826086956525,0.2517913043478261,1.1304347826086956,1,0,2
2011-02-17,2475,0.43583333333333335,0.505,0.23010416666666667,1.2083333333333333,1,0,2
2011-02-18,2927,0.5216666666666666,0.5166666666666667,0.264925,1.25,1,0,2
2011-02-19,1635,0.39916666666666667,0.18791666666666665,0.5074625,1.0,1,0,2
2011-02-20,1812,0.28521739130434787,0.40782608695652167,0.22323478260869567,1.3478260869565217,1,0,2
2011-02-21,1107,0.30333333333333334,0.605,0.3078458333333333,2.2083333333333335,1,0,2
2011-02-22,1450,0.18222222222222223,0.5777777777777778,0.19568333333333332,1.2222222222222223,1,0,2
2011-02-23,1917,0.2217391304347826,0.4230434782608696,0.09411304347826087,1.0,1,0,2
2011-02-24,1807,0.2956521739130435,0.697391304347826,0.25049565217391306,1.8695652173913044,1,0,2
2011-02-25,1461,0.36434782608695654,0.7121739130434782,0.34653913043478257,1.9565217391304348,1,0,2
2011-02-26,1969,0.28250000000000003,0.5379166666666667,0.18657083333333335,1.375,1,0,2
2011-02-27,2402,0.34347826086956523,0.68,0.12524782608695653,1.0869565217391304,1,0,2
2011-02-28,1446,0.4072727272727273,0.8763636363636365,0.28968636363636363,2.4545454545454546,1,0,2
2011-03-01,1851,0.26666666666666666,0.535,0.216425,1.0,1,0,3
2011-03-02,2134,0.335,0.4495833333333333,0.30783333333333335,1.0,1,0,3
2011-03-03,1685,0.19833333333333333,0.3183333333333333,0.22575416666666667,1.0416666666666667,1,0,3
2011-03-04,1944,0.26166666666666666,0.6104166666666667,0.20334583333333334,1.5,1,0,3
2011-03-05,2077,0.3841666666666667,0.7891666666666667,0.2518708333333333,2.0,1,0,3
